,edges,chrom_sym_func,e_positive
0,"[(0, 5), (0, 7), (1, 6), (1, 10), (2, 7), (2, 8), (3, 8), (3, 9), (4, 9), (4, 10)]","e[2, 2, 2, 2, 2, 1] + 19*e[3, 2, 2, 2, 2] + 24*e[3, 3, 2, 2, 1] + 52*e[3, 3, 3, 2] + 12*e[4, 2, 2, 2, 1] + 123*e[4, 3, 2, 2] + 36*e[4, 3, 3, 1] + 27*e[4, 4, 2, 1] + 75*e[4, 4, 3] + 29*e[5, 2, 2, 2] + 48*e[5, 3, 2, 1] + 68*e[5, 3, 3] + 110*e[5, 4, 2] + 16*e[5, 5, 1] + 15*e[6, 2, 2, 1] + 94*e[6, 3, 2] + 30*e[6, 4, 1] + 49*e[6, 5] + 31*e[7, 2, 2] + 24*e[7, 3, 1] + 45*e[7, 4] + 14*e[8, 2, 1] + 37*e[8, 3] + 25*e[9, 2] + 9*e[10, 1] + 11*e[11]",True
1,"[(0, 5), (0, 7), (1, 6), (1, 10), (2, 7), (2, 8), (3, 8), (3, 9), (4, 9), (4, 10), (6, 10)]","8*e[3, 2, 2, 2, 2] + 24*e[3, 3, 2, 2, 1] + 80*e[3, 3, 3, 2] + 6*e[4, 2, 2, 2, 1] + 130*e[4, 3, 2, 2] + 72*e[4, 3, 3, 1] + 36*e[4, 4, 2, 1] + 150*e[4, 4, 3] + 16*e[5, 2, 2, 2] + 64*e[5, 3, 2, 1] + 136*e[5, 3, 3] + 158*e[5, 4, 2] + 32*e[5, 5, 1] + 10*e[6, 2, 2, 1] + 134*e[6, 3, 2] + 60*e[6, 4, 1] + 98*e[6, 5] + 24*e[7, 2, 2] + 48*e[7, 3, 1] + 90*e[7, 4] + 14*e[8, 2, 1] + 74*e[8, 3] + 32*e[9, 2] + 18*e[10, 1] + 22*e[11]",True
2,"[(0, 5), (0, 9), (1, 6), (1, 10), (2, 7), (2, 8), (3, 7), (3, 9), (4, 8), (4, 10), (5, 9), (6, 10)]","16*e[3, 3, 2, 2, 1] + 112*e[3, 3, 3, 2] + 96*e[4, 3, 2, 2] + 144*e[4, 3, 3, 1] + 36*e[4, 4, 2, 1] + 300*e[4, 4, 3] + 64*e[5, 3, 2, 1] + 272*e[5, 3, 3] + 192*e[5, 4, 2] + 64*e[5, 5, 1] + 160*e[6, 3, 2] + 120*e[6, 4, 1] + 196*e[6, 5] + 96*e[7, 3, 1] + 180*e[7, 4] + 148*e[8, 3] + 28*e[9, 2] + 36*e[10, 1] + 44*e[11]",True
3,"[(0, 5), (0, 6), (1, 6), (1, 7), (2, 7), (2, 8), (3, 8), (3, 9), (4, 9), (4, 10), (5, 10)]","22*e[3, 2, 2, 2, 2] + 88*e[3, 3, 3, 2] + 198*e[4, 3, 2, 2] + 198*e[4, 4, 3] + 44*e[5, 2, 2, 2] + 176*e[5, 3, 3] + 264*e[5, 4, 2] + 220*e[6, 3, 2] + 220*e[6, 5] + 66*e[7, 2, 2] + 198*e[7, 4] + 154*e[8, 3] + 88*e[9, 2] + 110*e[11]",True
4,"[(0, 5), (0, 6), (0, 10), (1, 6), (1, 7), (2, 7), (2, 8), (3, 8), (3, 9), (4, 9), (4, 10), (5, 10)]","6*e[3, 2, 2, 2, 2] + 12*e[3, 3, 2, 2, 1] + 72*e[3, 3, 3, 2] + 6*e[4, 2, 2, 2, 1] + 150*e[4, 3, 2, 2] + 48*e[4, 3, 3, 1] + 36*e[4, 4, 2, 1] + 246*e[4, 4, 3] + 30*e[5, 2, 2, 2] + 64*e[5, 3, 2, 1] + 216*e[5, 3, 3] + 308*e[5, 4, 2] + 48*e[5, 5, 1] + 20*e[6, 2, 2, 1] + 252*e[6, 3, 2] + 90*e[6, 4, 1] + 342*e[6, 5] + 70*e[7, 2, 2] + 72*e[7, 3, 1] + 306*e[7, 4] + 42*e[8, 2, 1] + 234*e[8, 3] + 126*e[9, 2] + 72*e[10, 1] + 198*e[11]",True
5,"[(0, 5), (0, 6), (0, 10), (1, 6), (1, 7), (2, 7), (2, 8), (3, 8), (3, 9), (4, 9), (4, 10), (6, 10)]","4*e[3, 2, 2, 2, 2] + 24*e[3, 3, 2, 2, 1] + 16*e[3, 3, 3, 2] + 12*e[4, 2, 2, 2, 1] + 120*e[4, 3, 2, 2] + 96*e[4, 3, 3, 1] + 72*e[4, 4, 2, 1] + 96*e[4, 4, 3] + 44*e[5, 2, 2, 2] + 128*e[5, 3, 2, 1] + 80*e[5, 3, 3] + 304*e[5, 4, 2] + 96*e[5, 5, 1] + 40*e[6, 2, 2, 1] + 244*e[6, 3, 2] + 180*e[6, 4, 1] + 244*e[6, 5] + 116*e[7, 2, 2] + 144*e[7, 3, 1] + 216*e[7, 4] + 84*e[8, 2, 1] + 160*e[8, 3] + 220*e[9, 2] + 144*e[10, 1] + 176*e[11]",True
6,"[(0, 5), (0, 6), (1, 6), (1, 7), (1, 10), (2, 7), (2, 8), (3, 8), (3, 9), (4, 9), (4, 10), (6, 10)]","8*e[3, 2, 2, 2, 2] + 8*e[3, 3, 2, 2, 1] + 56*e[3, 3, 3, 2] + 12*e[4, 2, 2, 2, 1] + 162*e[4, 3, 2, 2] + 24*e[4, 3, 3, 1] + 54*e[4, 4, 2, 1] + 54*e[4, 4, 3] + 58*e[5, 2, 2, 2] + 96*e[5, 3, 2, 1] + 136*e[5, 3, 3] + 300*e[5, 4, 2] + 64*e[5, 5, 1] + 50*e[6, 2, 2, 1] + 356*e[6, 3, 2] + 120*e[6, 4, 1] + 146*e[6, 5] + 162*e[7, 2, 2] + 96*e[7, 3, 1] + 126*e[7, 4] + 112*e[8, 2, 1] + 254*e[8, 3] + 314*e[9, 2] + 126*e[10, 1] + 154*e[11]",True
7,"[(0, 5), (0, 6), (1, 6), (1, 7), (1, 10), (2, 7), (2, 8), (3, 8), (3, 9), (4, 9), (4, 10), (7, 10)]","4*e[3, 2, 2, 2, 2] + 20*e[3, 3, 2, 2, 1] + 48*e[3, 3, 3, 2] + 12*e[4, 2, 2, 2, 1] + 128*e[4, 3, 2, 2] + 36*e[4, 3, 3, 1] + 36*e[4, 4, 2, 1] + 180*e[4, 4, 3] + 56*e[5, 2, 2, 2] + 120*e[5, 3, 2, 1] + 192*e[5, 3, 3] + 192*e[5, 4, 2] + 32*e[5, 5, 1] + 60*e[6, 2, 2, 1] + 288*e[6, 3, 2] + 60*e[6, 4, 1] + 48*e[6, 5] + 184*e[7, 2, 2] + 132*e[7, 3, 1] + 204*e[7, 4] + 140*e[8, 2, 1] + 348*e[8, 3] + 264*e[9, 2] + 108*e[10, 1] + 132*e[11]",True
8,"[(0, 5), (0, 6), (1, 6), (1, 7), (2, 7), (2, 8), (2, 10), (3, 8), (3, 9), (4, 9), (4, 10), (7, 10)]","8*e[3, 2, 2, 2, 2] + 12*e[3, 3, 2, 2, 1] + 28*e[3, 3, 3, 2] + 12*e[4, 2, 2, 2, 1] + 148*e[4, 3, 2, 2] + 84*e[4, 3, 3, 1] + 36*e[4, 4, 2, 1] + 198*e[4, 4, 3] + 64*e[5, 2, 2, 2] + 80*e[5, 3, 2, 1] + 116*e[5, 3, 3] + 174*e[5, 4, 2] + 60*e[6, 2, 2, 1] + 310*e[6, 3, 2] + 90*e[6, 4, 1] + 100*e[6, 5] + 206*e[7, 2, 2] + 168*e[7, 3, 1] + 282*e[7, 4] + 112*e[8, 2, 1] + 274*e[8, 3] + 214*e[9, 2] + 90*e[10, 1] + 110*e[11]",True
9,"[(0, 5), (0, 6), (0, 10), (1, 6), (1, 7), (2, 8), (2, 9), (3, 8), (3, 10), (4, 9), (5, 7), (5, 10)]","4*e[3, 2, 2, 2, 2] + 16*e[3, 3, 2, 2, 1] + 68*e[3, 3, 3, 2] + 12*e[4, 2, 2, 2, 1] + 128*e[4, 3, 2, 2] + 48*e[4, 3, 3, 1] + 36*e[4, 4, 2, 1] + 48*e[4, 4, 3] + 56*e[5, 2, 2, 2] + 104*e[5, 3, 2, 1] + 160*e[5, 3, 3] + 244*e[5, 4, 2] + 48*e[5, 5, 1] + 60*e[6, 2, 2, 1] + 392*e[6, 3, 2] + 120*e[6, 4, 1] + 272*e[6, 5] + 144*e[7, 2, 2] + 120*e[7, 3, 1] + 192*e[7, 4] + 84*e[8, 2, 1] + 200*e[8, 3] + 164*e[9, 2] + 72*e[10, 1] + 88*e[11]",True
